line_number,code,vulnerability,file_name
61,"while((ch = getopt(argc, argv, ""n"")) != EOF)
",0,aasysvinitxen_src2Fwall.c
19,"*		GNU General Public License for more details.
",0,aasysvinitxen_src2Fwall.c
54,"else {
",0,aasysvinitxen_src2Fwall.c
82,"for(f = optind; f < argc; f++) {
",0,aasysvinitxen_src2Fwall.c
79,"}
",0,aasysvinitxen_src2Fwall.c
6301,"strcpy((char *) ap_cur->bssid, ""deadb"");
",1,aircrack-ng-jbenden_src2Faircrack-ng.c
6356,"ret = missing_wordlist_dictionary(ap_cur);
",0,aircrack-ng-jbenden_src2Faircrack-ng.c
3704,"if (G.singlechan) strcat(strbuf, ""RXQ "");
",1,aircrack-ng-jbenden_src2Fairodump-ng.c
3708,"if (G.show_uptime) strcat(strbuf, ""       UPTIME  "");
",1,aircrack-ng-jbenden_src2Fairodump-ng.c
5280,"""\t\t\t<max-spd>%.6f</max-spd>\n""
",0,aircrack-ng-jbenden_src2Fairodump-ng.c
5451,"""\t\t\t<avg-lat>%.6f</avg-lat>\n""
",0,aircrack-ng-jbenden_src2Fairodump-ng.c
454,"len = sprintf(tmp, ""DIMAINT - drv # %d = '%s' registered"",
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fdebug.c
526,"len = sprintf(tmp, ""DIMAINT - drv # %d = '%s' de-registered"",
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fdebug.c
982,"len = sprintf(tmp, ""DIMAINT - drv # %d = '%s' registered"",
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fdebug.c
1067,"len = sprintf(tmp, ""DIMAINT - drv # %d = '%s' de-registered"",
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fdebug.c
776,"}
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fdebug.c
1547,"(*(pC->pIdiLib->DivaSTraceGetModemStatistics))(pC->pIdiLib);
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fdebug.c
1643,"diva_mnt_internal_dprintf(pC->hDbg->id, DLI_LOG,
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fdebug.c
94,"((sizeof(MSG_HEAD) + size + sizeof(dword) - 1) & ~(sizeof(dword) - 1))
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fdebug.c
491,"sprintf(name, ""State\\B%d\\Line"", pLib->ChannelsTraceActive);
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
502,"sprintf(name, ""State\\B%d\\Modem\\Event"", pLib->ModemTraceActive);
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
513,"sprintf(name, ""State\\B%d\\FAX\\Event"", pLib->FaxTraceActive);
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
686,"sprintf(name, ""State\\B%d"", i + 1);
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
695,"sprintf(name, ""State\\B%d\\Modem"", i + 1);
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
704,"sprintf(name, ""State\\B%d\\FAX"", i + 1);
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
713,"sprintf(name, ""State\\B%d\\Clear Call"", i + 1);
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
813,"sprintf(name, ""%s"", ""Statistics\\Incoming Calls\\Calls"");
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
823,"sprintf(name, ""%s"", ""Statistics\\Incoming Calls\\Connected"");
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
833,"sprintf(name, ""%s"", ""Statistics\\Outgoing Calls\\Calls"");
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
843,"sprintf(name, ""%s"", ""Statistics\\Outgoing Calls\\Connected"");
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
913,"sprintf(name, ""State\\B%d\\Line"", i);
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
923,"sprintf(name, ""State\\B%d\\Modem\\Event"", i);
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
933,"sprintf(name, ""State\\B%d\\FAX\\Event"", i);
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1063,"len = sprintf(name, ""State\\B%d\\Modem"", i);
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1073,"len = sprintf(name, ""State\\B%d\\FAX"", i);
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1083,"len = sprintf(name, ""State\\B%d"", i);
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1264,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1268,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1272,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1276,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1280,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1285,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1290,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1295,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1300,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1304,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1308,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1312,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1316,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1320,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1325,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1345,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1349,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1353,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1357,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1361,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1365,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1369,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1373,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1377,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1381,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1385,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1389,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1409,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1413,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1417,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1421,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1425,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1429,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1433,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1437,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1441,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1445,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1449,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1453,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1457,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1461,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1465,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1469,"sprintf(pLib->parse_table[pLib->cur_parse_entry].path,
",1,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1863,"/*
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1188,"diva_trace_error(pLib, -2 , __FILE__, __LINE__);
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
342,"/*
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
365,"if (process_idi_event(pLib, (diva_man_var_header_t *)p)) {
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
967,"case 0:
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1636,"""Statistics\\FAX\\Disc No Response"");
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1721,"""Statistics\\B-Layer1\\X-Frames"");
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1637,"pLib->parse_table[pLib->cur_parse_entry++].variable = \
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1065,"return (diva_modem_info(pLib, i, pVar));
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
2154,"pLib->modem_ifc_stats = 1;
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1832,"&pLib->InterfaceStat.d2.X_Errors;
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1620,"/*
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
2029,"} else {
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
125,"*/
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1937,"}
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1686,"""Statistics\\FAX\\Disc Supervisor"");
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
883,"}
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1321,"""State\\B%d\\Last Disc Cause"", nr);
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1696,"""Statistics\\FAX\\Disc Invalid Msg"");
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
960,"if (!strncmp(""State\\Layer2 No1"", path, pVar->path_length)) {
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
2108,"for (i  = pLib->statistic_parse_first; i <= pLib->statistic_parse_last; i++) {
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1158,"internal variables of application
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1698,"&pLib->InterfaceStat.fax.Disc_Invalid_Msg;
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
450,"pLib->removal_state = 3;
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
303,"pLib->general_b_ch_event = 2;
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1201,"if (pLib->line_init_event & (1L << nr)) {
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
498,"}
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1589,"""Statistics\\Modem\\Disc Congestion"");
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
36,"#define FAX_PARSE_ENTRIES    12 /* amount of variables of interest */
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
2111,"diva_trace_error(pLib, -3 , __FILE__, __LINE__);
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
468,"return (0);
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
2028,"pLib->audio_tap_mask |=  (1L << Channel);
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
980,"strcpy(tmp, ""SPID Initializing"");
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
368,"break;
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1410,"""State\\B%d\\Modem\\Event"", nr);
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
699,"pLib->pending_modem_status &= ~(1L << i);
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
2104,"diva_man_var_header_t *pVar) {
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
1752,"*/
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
2191,"LINE_PARSE_ENTRIES + 1) * channels;
",0,android-kernel-htc-msm8974-travis_drivers2Fisdn2Fhardware2Feicon2Fmaintidi.c
